id,name,team,team_abbr,team_group,position,price,status,pct_selected,total_points,avg_points,form,last_round_pts,one_to_watch,is_active,first_seen_at,updated_at
468,Harry Kane,England,ENG,l,FWD,10.5,playing,39.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
500,Kylian Mbappé,France,FRA,i,FWD,10.5,playing,51.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
855,Erling Haaland,Norway,NOR,i,FWD,10.5,playing,33.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
38,Lionel Messi,Argentina,ARG,j,FWD,10.0,playing,19.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
173,Vinícius Júnior,Brazil,BRA,c,MID,10.0,playing,13.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
501,Ousmane Dembélé,France,FRA,i,MID,10.0,playing,20.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1092,Lamine Yamal,Spain,ESP,h,MID,10.0,playing,43.4,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1573,Cristiano Ronaldo,Portugal,POR,k,FWD,10.0,playing,13.8,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1597,Mohamed Salah,Egypt,EGY,g,MID,10.0,playing,7.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
469,Bukayo Saka,England,ENG,l,MID,9.5,playing,6.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
517,Michael Olise,France,FRA,i,MID,9.5,playing,25.2,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1338,Lautaro Martínez,Argentina,ARG,j,FWD,8.8,playing,4.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
39,Julián Alvarez,Argentina,ARG,j,FWD,8.6,playing,15.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
939,Bruno Fernandes,Portugal,POR,k,MID,8.5,playing,49.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
491,Jude Bellingham,England,ENG,l,MID,8.3,playing,9.5,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1366,Raphinha,Brazil,BRA,c,MID,8.2,playing,21.5,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
256,Luis Díaz,Colombia,COL,k,MID,8.1,playing,19.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1094,Mikel Oyarzabal,Spain,ESP,h,FWD,8.1,playing,15.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1106,Pedri,Spain,ESP,h,MID,8.1,playing,9.8,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
516,Rayan Cherki,France,FRA,i,MID,8.0,playing,6.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1431,Bradley Barcola,France,FRA,i,MID,8.0,playing,1.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1520,Alexander Isak,Sweden,SWE,f,FWD,8.0,playing,2.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1600,Jamal Musiala,Germany,GER,e,MID,8.0,playing,11.5,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1710,Eberechi Eze,England,ENG,l,MID,8.0,playing,1.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1711,Ollie Watkins,England,ENG,l,FWD,7.9,playing,1.8,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
445,Omar Marmoush,Egypt,EGY,g,FWD,7.8,playing,2.8,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
528,Kai Havertz,Germany,GER,e,FWD,7.8,playing,6.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1093,Ferran Torres,Spain,ESP,h,FWD,7.8,playing,2.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1124,Viktor Gyökeres,Sweden,SWE,f,FWD,7.8,playing,7.5,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1572,Bernardo Silva,Portugal,POR,k,MID,7.8,playing,2.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1574,Rafael Leão,Portugal,POR,k,MID,7.8,playing,2.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
2000,Nico Williams,Spain,ESP,h,MID,7.8,playing,4.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
804,Cody Gakpo,Netherlands,NED,f,FWD,7.7,playing,3.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1105,Dani Olmo,Spain,ESP,h,MID,7.7,playing,2.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1684,Martin Ødegaard,Norway,NOR,i,MID,7.7,playing,4.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1696,Sadio Mané,Senegal,SEN,i,MID,7.6,playing,1.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
57,Enzo Fernández,Argentina,ARG,j,MID,7.5,playing,3.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
125,Jérémy Doku,Belgium,BEL,g,MID,7.5,playing,11.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
138,Kevin De Bruyne,Belgium,BEL,g,MID,7.5,playing,5.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
471,Marcus Rashford,England,ENG,l,MID,7.5,playing,2.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
502,Marcus Thuram,France,FRA,i,FWD,7.5,playing,0.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
505,Désiré Doué,France,FRA,i,MID,7.5,playing,2.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
543,Florian Wirtz,Germany,GER,e,MID,7.5,playing,21.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
923,Gonçalo Ramos,Portugal,POR,k,FWD,7.5,playing,0.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1104,Rodri,Spain,ESP,h,MID,7.5,playing,1.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1149,Breel Embolo,Switzerland,SUI,b,FWD,7.5,playing,1.8,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1236,Darwin Núñez,Uruguay,URU,h,FWD,7.5,playing,1.5,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1248,Federico Valverde,Uruguay,URU,h,MID,7.5,playing,6.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1712,Ivan Toney,England,ENG,l,FWD,7.5,playing,0.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
124,Romelu Lukaku,Belgium,BEL,g,FWD,7.4,playing,1.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
529,Leroy Sané,Germany,GER,e,MID,7.4,playing,0.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
723,Son Heung-Min,Korea Republic,KOR,a,FWD,7.4,playing,1.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
2043,Memphis Depay,Netherlands,NED,f,FWD,7.4,playing,0.8,0.0,0.0,0.0,0.0,0,1,2026-05-29T16:49:14.638365+00:00,2026-05-31T03:31:14.988646+00:00
174,Matheus Cunha,Brazil,BRA,c,FWD,7.3,playing,3.4,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
382,Patrik Schick,Czechia,CZE,a,FWD,7.3,playing,0.8,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
475,Morgan Rogers,England,ENG,l,MID,7.2,playing,1.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
532,Nick Woltemade,Germany,GER,e,FWD,7.2,playing,1.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1369,Neymar,Brazil,BRA,c,MID,7.2,playing,3.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
